time,bid,ask
1526128630073,8579.88,8580.17
1526128633609,8579.88,8579.89
1526128637580,8576.00,8577.55
1526128641899,8576.00,8577.54
1526128645774,8576.00,8577.54
1526128649007,8571.31,8577.09
1526128653385,8571.34,8575.46
1526128655568,8571.34,8575.46
1526128660595,8571.37,8578.90
1526128664167,8571.37,8578.90
1526128667161,8576.01,8576.99
1526128671792,8568.52,8577.72
1526128674497,8568.52,8577.72
1526128678631,8568.52,8577.72
1526128682635,8569.85,8577.99
1526128685857,8569.85,8577.99
1526128689466,8570.30,8577.98
1526128693721,8571.53,8575.26
1526128696713,8571.54,8575.26
1526128698991,8571.54,8575.26
1526128704995,8571.54,8575.25
1526128707969,8571.37,8576.00
1526128711375,8571.37,8576.00
1526128711375,8571.37,8576.00
1526128719763,8571.37,8576.00
1526128722637,8571.40,8576.00
1526128726592,8571.40,8576.00
1526128730438,8571.40,8576.00
1526128734842,8571.41,8576.00
1526128738355,8571.41,8576.00
1526128741968,8567.16,8570.20
1526128745198,8567.31,8570.19
1526128748813,8566.54,8570.20
1526128751837,8566.54,8570.20
1526128756958,8566.54,8570.20
1526128759790,8566.50,8570.85
1526128763775,8566.50,8570.85
1526128767233,8566.60,8570.85
1526128771295,8568.68,8570.85
1526128772522,8568.68,8570.85
1526128779285,8570.85,8577.99
1526128782349,8570.85,8577.99
1526128786004,8572.64,8577.98
1526128789873,8572.64,8577.98
1526128793825,8572.64,8577.98
1526128796913,8572.54,8572.59
1526128800684,8569.40,8572.58
1526128804511,8569.40,8572.58
1526128805736,8569.40,8572.58
1526128811662,8568.91,8572.58
1526128816283,8568.91,8572.58
1526128819522,8568.91,8572.58
1526128823085,8570.80,8572.89
1526128826172,8570.84,8572.99
1526128830621,8570.85,8572.99
1526128834523,8570.87,8575.70
1526128836651,8570.87,8575.70
1526128841367,8570.87,8575.70
1526128844615,8571.36,8576.98
1526128849459,8571.36,8576.98
1526128852392,8570.90,8576.99
1526128856342,8571.79,8576.99
1526128860307,8571.79,8576.99
1526128863825,8571.80,8581.99
1526128867867,8574.26,8581.98
1526128871608,8574.28,8581.98
1526128874886,8574.28,8581.98
1526128878637,8575.98,8581.70
1526128882536,8575.98,8581.70
1526128886117,8575.99,8581.70
1526128887521,8575.99,8581.70
1526128892876,8575.99,8581.98
1526128896698,8580.00,8581.98
1526128900549,8580.00,8581.98
1526128904560,8580.00,8581.98
1526128908470,8580.01,8581.98
1526128911723,8580.01,8581.98
1526128914215,8580.98,8581.98
1526128919362,8580.99,8581.98
1526128923435,8580.99,8581.98
1526128926132,8580.99,8581.98
1526128930160,8580.99,8581.98
1526128934090,8580.99,8581.98
1526128937862,8580.99,8581.98
1526128941631,8581.19,8582.99
1526128945157,8581.63,8586.81
1526128949749,8580.01,8586.89
1526128952609,8580.01,8586.89
1526128956556,8580.01,8586.88
1526128960433,8581.31,8586.95
1526128964449,8581.32,8586.42
1526128968188,8581.32,8586.42
1526128971042,8581.31,8586.39
1526128973997,8581.31,8586.37
1526128976800,8581.31,8586.37
1526128982846,8581.31,8586.17
1526128984181,8581.31,8586.17
1526128993805,8581.31,8585.99
1526128997163,8581.31,8585.77
1526129000947,8581.31,8585.76
1526129004800,8581.31,8585.77
1526129008752,8581.31,8585.77
1526129011786,8581.31,8585.77
1526129014941,8581.31,8585.77
1526129018162,8581.31,8585.77
1526129022968,8581.32,8585.77
1526129026665,8583.03,8585.78
1526129030570,8583.03,8585.78
1526129034156,8583.05,8586.99
1526129038161,8582.62,8587.88
1526129041246,8582.62,8587.88
1526129045485,8583.64,8589.99
1526129049242,8583.64,8589.99
1526129052311,8583.64,8589.99
1526129056299,8583.69,8587.40
1526129060284,8583.69,8587.40
1526129063893,8583.69,8587.40
1526129066797,8583.69,8587.40
1526129070941,8580.01,8587.39
1526129074624,8580.01,8587.37
1526129078349,8580.04,8587.36
1526129082523,8580.07,8587.35
1526129085861,8580.07,8587.35
1526129089181,8580.41,8587.99
1526129092966,8580.41,8587.99
1526129097307,8580.41,8587.99
1526129100522,8580.33,8587.97
1526129103746,8580.89,8587.97
1526129107605,8580.89,8587.97
1526129112027,8580.90,8587.97
1526129115285,8582.01,8587.97
1526129119414,8582.01,8587.97
1526129122750,8582.01,8587.97
1526129126933,8582.17,8587.99
1526129130023,8582.02,8587.97
1526129132918,8582.02,8587.97
1526129137773,8582.86,8593.56
1526129141093,8584.60,8593.56
1526129144840,8584.60,8593.56
1526129149302,8584.64,8593.56
1526129152224,8586.47,8593.56
1526129155456,8586.47,8593.56
1526129160546,8587.10,8593.56
1526129163702,8586.74,8593.00
1526129168033,8586.98,8591.26
1526129171511,8586.98,8591.26
1526129174937,8586.57,8591.26
1526129179109,8586.57,8591.26
1526129182976,8588.17,8591.26
1526129184171,8588.17,8591.26
1526129186457,8588.17,8591.26
1526129192581,8587.76,8591.26
1526129195423,8588.24,8591.27
1526129200648,8588.24,8591.27
1526129203468,8588.25,8599.26
1526129206275,8588.25,8599.26
1526129209479,8588.93,8591.90
1526129214883,8589.28,8599.03
1526129219817,8591.66,8599.75
1526129223742,8591.67,8599.74
1526129227736,8591.67,8599.74
1526129231841,8591.70,8599.75
1526129235561,8596.12,8599.99
1526129239019,8591.93,8600.00
1526129242246,8591.93,8600.00
1526129245972,8597.02,8599.99
1526129250842,8597.02,8599.99
1526129254713,8597.08,8600.00
1526129257771,8597.08,8600.00
1526129261662,8597.09,8599.99
1526129265408,8597.11,8599.99
1526129269703,8597.16,8599.99
1526129272730,8597.16,8599.99
1526129277026,8597.12,8599.99
1526129281097,8597.18,8599.99
1526129284306,8597.20,8599.99
1526129288327,8597.20,8599.99
1526129292122,8592.44,8599.98
1526129294535,8599.98,8600.00
1526129298906,8599.98,8600.00
1526129303006,8597.84,8600.00
1526129306225,8597.95,8599.99
